인물,대사
윤호, 하 참..이거..
민정, 그래..지금까진 그랬어..근데 이젠 아니야 정말..
윤호,그럼 다행이구요. 저 그럼 갑니다. 
문희,하루만 자고 가면 안돼? 이제 못 보는거 아니야?
개성댁,어두워졌으니 이제 나서야지. 미적거리다 때 놓쳐.
순재, 그럼 안 잡히고 목적지까지 잘 가시기 빕니다.
개성댁,평택까지 같이 가셔야겠는데요?
순재,네?
문희,당신이 태워줘야지 어떡해. 난 운전도 못하고.
순재,아...  그럼요 그럼요 태워드려야지요 그럼요~ 가시죠~~
순재,부모님 산소가 평택에 있나봐요?
개성댁,네.
순재,타시죠. 
경찰2,애가 타서 저렇게 느린 거야? 아우 비켜가자.
경찰1,이차는 또 왜 이렇게 느려?
경찰2,가만 저기 뭐라고 쓴 거야?
경찰1,뭐가.
경찰2,좀 가까이 가봐. 뭐라고 써 있는데?
개성댁,너무 느린거 아녜요? 좀 달려봐요.
순재,네 네. 
개성댁,어? 저게 뭐야? 어떻게 알았지?
순재,글쎄요? 
문희,개성댁.. 
개성댁, 교활한 영감탱이..
순재, 교활? 누가? 이 여편네야!! 어디서 죄짓고 도망을 나와~ 평생 콩밥이나 실컷 먹으면서 반성이나 해!
개성댁,뭐? 
순재, 어어~ 왜! 뭐 어쩔려구! 이 못 되먹은 여편네 같으니라구!
개성댁, 두고봐..
순재,두고보긴 뭘 두고봐~ 죄 지었으면 죄값을 치뤄야지 어디서 우릴 공범을 만들려고 말이야~
문희,개성댁~ 개성댁~
순재,시끄러! 개성댁은 얼어죽을~ 할망구 그렇게 당하고도 정신을 못 차려! 아 속이 다 시원~하다~
민용,서선생.
민정,어? 이선생님. 준이야..  준이 데려다주러 오셨구나.
민용,네.
민정,준이는 좋겠다.. 이제 곧 엄마아빠랑 같이 살겠네.
민용,에?
민정,언제쯤 합치실 생각이세요?
민용,이거봐요 서선생. 아까부터 이상한 소릴 자꾸 하는데. 뭘 합친다는 거예요?
민정,네? 아니 이선생님이랑 신지랑 두분..
민용,그러니까 우리 둘이 합친다구요? 누가 그래요?
민정,네? 아니..그냥.. 크리스마스때두 같이 지내시구 한게 그런 뜻으로..
민용," 크리스마스때 저희 같이 안 지냈구요, 우리 앞으로 진짜 친구로 지내기로 했습니다."
민정,네...?
민용,애는 정기적으로 보여주기로 했으니까 아주 안 만날수야 없지만. 이제 신지는 저한테 준이 친엄마 이상은 아닙니다.
민정, 아...
민용,이제 이해됩니까?
민정,네.. 그렇구나.. 제가 오해했나봐요... 
민용, 아 저녁 안 먹었으면 같이 저녁 먹을래요?
민정,네...?
민용,준이만 주고 바로 나올꺼거든요.
민정,네...전..네 좋아요..
민용,그럼 금방 나올께요. 여기서 좀 기다릴래요?
민정,아... 네..
민용,잠깐만요. 
민정,아야!  아.. 먼지..
윤호,하 씨.. 
윤호, 또 우세요 또?!
민정,어? 윤호야.. 
윤호,정말.. 신경쓰이게 하네. 타세요!
민정,어 왜 이래?
민정,엄마야~  윤호야 왜 이래~~
윤호,바보같이 울지 좀 말랬죠! 선생님 왜 그렇게 바보예요 정말?
민정,엄마야~ 살려줘어~
윤호,소리 지르고 싶으면 맘껏 지르세요! 그리고 전부 털어 버려요 제발!
민정,엄마야! 살려줘어~~ 나 내려줘어~~~ 야 왜 이래~~
민용,서선생... 서선생?  어디 갔어?
준하,아버지 봉원전자 슬슬 올라가는데요?
순재,그래서 좋냐? 굼벵이처럼 올라가고 떨어질땐 하한가 치구.
준하,그래두 올라가는데 좀 좋아해보세요. 왜 그렇게 비관적이세요?
순재,"나 원래 엄청 낙천적인 사람인데, 너 때문에 내가 이렇게 됐어."
준하,어? 뭐야?
앵커,뉴스 속보입니다. 오늘 새벽 5시경 대전교도소에 수감 중이던 죄수가 탈옥했습니다. 탈옥수는 얼마전 서울구치소에서
준하,에에? 개성댁 아주머니?!!
앵커, 여자 신창원이라는 별명까지 얻은 이수나씨는 수감되어 있던 대전 교도소 독방 벽에 영감탱 가만안둬라는
준하, 아버지 아버지.
문희,놔둬라 더 주무시게.
준하,아니 어제부터 왜 이렇게 계속 주무세요? 지금이 몇신데?
문희,개성댁 탈옥했단 뉴스 보고 그 뒤로 한잠도 못 잤대 무서워서.
준하,개성댁 아주머니 도로 잡혔다고 아까 뉴스에 나오던데?
문희,그래 그 뉴스 보고 그때부터 저렇게 계속 자는 거야.
민호,아 먹기 싫은데. 
해미,우유를 먹어야 키가 쑥쑥 크지.
윤호,엄마.
해미,이윤호 딱 하나 잘하는건 우유 좋아하는 거. 
윤호,에?  엄마 나 할말이 있어.
윤호,엄마 좀~ 공부 열심히 한다니까?
해미,며칠 있으면 방학인데 이제 열심히 해서 뭐해?
윤호,대신 학원 열심히 다니면 되잖아..엄마 제발 네? 나 비행기만 있으면 공부 엄청 잘할꺼 같애.
윤호,엄마. 어머님. 어마마마.
해미,오케이.
윤호,오케이? 아싸~
해미,근데 엄만 자격 없는 사람한테는 안 사주는 거 알지? 아무리 모형이라도 비행기에 대한 기초 이해와 지식은 있어야지.
윤호,어?
해미,세계 최초로 동력 비행기를 만든 사람이 누구야?
윤호,어?
해미,5초 내로 대답해. 5. 4. 3.
해미,2. 1. 땡. 라이트 형제도 몰라? 넌 비행기 가질 자격 없어.
윤호,엄마 어머님.. 어마마마.. 
해미,"사고 싶으면 비행기의 역사, 원리, 종류에 관해서 책 읽고 다시 와. 자격 있다 싶으면 사줄께. "
윤호,엄마...아 씨.. 
민호,엄마를 아직도 모르냐? 인터넷으로라도 자료 좀 보고 조르지 멍청한 놈.
윤호,뭐? 와 형님 많이 컸다? 이리와.
윤호,안 그래도 열 받는데 죽었어 씨. 
민용,뭐야?
윤호,야 너 안 서? 
민용,뭐야 니들?
윤호,아 씨. 놓쳤어.  어디 가 삼촌?
민용,어..
민용, 핸드폰 좀.
윤호, 좀 잘 해 삼촌.
민용,뭘?
윤호,아 씨 좀 잘 하라구.
민용,뭘 임마?
민용, 뭐야 저 놈?  여보세요? 아 서선생 왠일이예요? 자료 내가 갖고 있는데.
민정,네? 아 내일 학교에서 주셔도 괜찮은데. 네 그럼.. 오세요. 기다릴께요. 
민정, 신지와 친구로 남기로 한 이후 이선생님이 갑자기 나한테 친절해진 느낌이다. 조금씩 마음을 여는 걸까? 크크..
신지,민정아 내 핸드폰 어딨는지 알아?
민정,어? 어.. 몰라.. 
신지,그건 뭐냐?
민정,어? 어 아니야.
신지,뭔데 숨겨? 내놔봐~
민정,아니야..
신지,뭐 일기야? 너 일기도 쓰냐?  무슨 비밀 얘길 쓰는데? 좀 보자.
민정,왜 이래~?
신지,뭐 썼나 언니가 검열 좀 해야겠어~ 아무래도 내 욕만 있을꺼 같애 줘봐~ 
민정,아아아 왜 이래~ 하지마~~ 내놔~
신지, 이히히~
민정, 내놔! 얼른!!
신지,어디 보자  11월 6일 오늘 풍파고등학교에 부임했다. 별거 없고..  12월 24일. 크리스마스 이브다..
민정, 안돼!! 읽지마!!!  안돼 읽지마!!
민정,악!!
신지,어 야? 괜찮아? 
민정, 내놔!! 얼른!! 내놔!!
신지,알았어 자. 아 무서워..  일어나.
민정, 아...아....
신지,왜 그래?
민정,아 내 목..아 아..
민용,왜 그래?
신지, 오빠 얘 목 삐었나봐~ 클났다.
민정,아아 아... 
해미,아버님.
순재, ....
해미, 아버님.
순재, 뭐야 이게.  큼.. 그래. 왜? 무슨 일 있어?
해미,"저 오늘까지 학회 준비해야되서 진료시간이 좀 많이 빠듯하네요. 아버님이 대기환자 진료 좀 해주시면 좋겠는데, 괜찮으시죠?"
순재,그래. 들여보내. 내가할게 걱정 말고 학회준비나 해라.
해미,네 감사합니다. 
순재, 환자분 들어오시라 그래.
유간호사, 그게..내일 다시 오시겠다는데요.
순재,뭐?  그럼 그 다음 분 들어오시라 그래.
유간호사, 그게.. 그 분두 전부 박원장님한테 진료 받으시겠다고.
순재,뭐? 알았어.  싫음 말라 그래. 에이. 
문희,아주 마트 한번 갔다오면 팔이 빠져. 우리 식구가 몇이야. 하루에도 몇번을 왔다갔다하는지 몰라.
문희,면허야 있지만 차를 줘야 말이지? 우리집 영감이 나한테 키를 주겠다 참. 흠집이라도 하나 내봐 날 아주 죽일라 그럴꺼야.
문희,그래 알았어. 다시 전화할께. 
해미,어머님 차 필요하세요?
문희, 아유 깜짝야. 언제 들어왔냐?
해미,지금요. 마트 다니시기 힘드세요?
문희,아니 뭐..  사실 힘들지. 날도 춥고.. 준이 업고 다니기도 그렇고..
해미,음. 미처 생각을 못했는데 그렇겠네요. 애 감기 걸릴 수도 있고.
문희,그래. 그렇다고 애를 놓고 갈수도 없잖냐.
해미,오케이. 어머님 그럼 제 차 쓰세요.
문희,어?
해미,진료시간 동안은 쓸 일 없으니까 어머님이 쓰시는 게 좋겠네요.
문희,진짜루?  아유 나야 좋지만.. 너 필요하면 어떡해.
해미,필요할 때만 말씀드릴께요. 키 하나 복사해서 드릴테니까 낮에는 어머님 전용으로 쓰세요.
문희,아유  고맙다.. 근데 내가 정말 써도 괜찮을까..? 영감은 나 못 미더워서 절대 운전대 안 맡기는데.
해미,처음부터야 누가 잘해요? 연습 하면서 느는 거죠.
문희, 그건 그래 내가 연습 좀 하면 금방 잘 하지~ 내가 원래 운동신경은 타고 났거든.
해미,오케이. 그럼 그렇게 하는 걸로 하죠. 
문희, 어머 왠일이야... 하여간 애가 화끈하긴 하다니까..
순재,여보세요..
민용, 아버지 전데요. 환자 한명 보내니까 잘 좀 치료 해주세요.
순재, 누구? 민호 담임? 어디가 아파서..
유간호사,원장님 환자분...
민정,안녕하세요.
순재,아 오셨다 끊어.  아 네 어이구 어서오세요. 앉으세요.
민정,네..  이선생님이..
순재,"네 지금 전화 받았습니다. 잘 봐달라고. 당연히 잘 봐드려야지 우리 손자들 담임선생님이신데,"
민정,에.. 
순재,음. 얼굴색이 아주 안 좋으시구만. 일단 맥 부터 짚어 보겠습니다.
민정,에? 에...
순재, 음 맥은 현삭하고.. 얼굴색이 탁하고 거무튀튀하군...
민정,네? 간울기체가 뭐예요?
순재,"마음이 편치 않아 간의 기가 울결되어 기운과 피가 조화를 이루지 못해, 충맥과 임맥이 서로 돕지 못하는 겁니다."
민정,별로 안 심한데요..
순재,에? 그럴리가.
민정,근데요.. 저는 저기 목을 삐끗해서 온 건데요 왜 맥을..?
순재,에?  아니 목이 삐신 거면 진작 말을 하시지.
민정,죄송합니다. 뭐 이유가 있는 줄 알고.
순재,아..큼..사실 목을 삔다는 것도 바로 피가 조화를 이루지 못하고 순환이 안되는 거라 맥을 보는 게 이상할 건 없습니다.
민정,네~~ 그렇구나~~
순재,자.. 그럼 좀 보겠습니다. 
문희,우리 큰 며느리가 원래 애가 심성은 착해. 앞으로 낮에는 내 전용으로 쓰라는 거야~
해미, 어머님 어머님.
문희,어 키 복사했나보다. 끊어.  그래 간다~
문희,키 복사했냐?
해미,그 전에 보실 게 있어요. 여기요. 
문희,이게 다 뭐냐?
해미,"이건 기초 운전상식, 이건 서울시내 교통법규 안내서, 서울시내 지도, 제 차의 기본 사양과 사용법, 여기까진 필수고요,"
문희, 내가 이걸 언제 다 읽어..?
해미,금방 읽어요. 보다보면 재밌어요.
문희,아니.. 얘 내가 눈도 침침한데 이걸 다 어떻게..  이런 거야 운전하면서 천천히 익히면 되지..
해미,으으음..  나중에 나중에.. 하다 사고나면 후회해도 늦죠 어머님. 운전은 기초를 다지는 게 중요해요.
문희, 아유 알았다 알았어..  뭐 시간나는 대로 읽어보든지..
해미,으으음. 읽어 보든지가 아니라 열심히 읽으셔야 돼요. 시험도 칠꺼니까.
문희,뭐? 시험?
해미, 70점 이상 통과 못하면 키 못 드려요. 아셨죠?  저 병원 가요. 어머님 화이팅!
문희, 하..뭐야...?  그럼 그렇지 왠일로 쉽게 차를 주나 했어 저거 진짜~ 에이 씨~ 
민정,살살해주세요 살살~ 저 되게 겁 많거든요~
순재,가만..  기운이 많이 쇠해있어. 유침시키지 않는 것이 옳은 처방이리.
민정,왜요?
순재,서선생 기운이 너무 약해서 기가 상할 수 있거든요.
민정,아 네.. 그렇구나~
순재, 내일이면 목이 자유자재로 돌아갈겁니다. 
민정,정말요?  그런데요.. 저 궁금한 게 하나 있는데..
순재,뭡니까?
민정, 종이를 왜 계속 붙이고 계세요?
순재,네?  아니 진작 말을 해주지.
민정,아..전 일부러 붙이신 줄 알고. 뭐 이유가 있는 했어요.
민정,나 왔어.
신지,침 맞았어?
민정,어. 되게 시원하다. 금방 나을 거 같애.
신지,형님 성질은 개떡같애도 침은 잘 놔.
민정,응? 민호 어머님이 아니라 원장님한테 받았는데.
신지,아버님? 왜 아버님한테 받았어?
민정,원장님이니까 더 잘하시는 거 아냐? 
신지, 아닐텐데...
문희, 이게 뭐야 하나도 모르겠네..
준하,아 배고파서 잠이 안와.  아직도 안 주무시고 뭐하세요?
문희,니 마누라한테 물어봐라.
준하,네? 
문희,니네 차 좀 내가 쓴다는데 이거 다 안 읽으면 키를 안 준대잖냐.
준하,그래요?
문희,야 내가 아무리 장롱면허라도 면허증도 있는 사람인데 내가 이렇게까지 해야 되냐 어? 이 나이에. 무슨 시험까지 친다 그러고.
준하,어유 뭘 그렇게까지 해요? 그냥 운전하면서 익히면 되지..
문희,내 말이 그 말 아니냐. 니가 말 좀 해다오. 제발 대충 넘어가라구.
준하,네 그럴께요. 
준하,여보. 당신 엄마 운전 시험 본다 그랬어?
해미,어. 왜?
준하,울 엄마 나이에 저 책을 어떻게 다 봐. 그냥 대충..
해미, 으으음. 차라는 게 어설프면 살인무기가 돼. 목숨이 달린 문제라고. 그냥은 키 못 드리지.
준하, 하긴.. 맞아. 목숨이 달린 문젠데.  그냥 잘꺼야?
해미,피곤해.
준하,이이잉.. 
해미,어우 왜 그래~ 
문희,또 넘어갔구만 또. 저 팔랑귀 등신... 
간호사들,나오셨어요.
순재,음. 오늘 예약환자가..
박간호사,딱 한분인데요.
순재, 딱 한분? 딱이란 말을 왜 붙이는 거야? 뭐 나한테 불만있어?
박간호사,네? 아니..저 그냥..
순재,누군데?
박간호사,서민정씨.. 11시에..
순재,쯧. 
순재,열한시가 지났는데 왜 안와?  이봐. 예약환자 왜 안오나 전화 좀 해 보지?
박간호사, 아 지금 오셨습니다. 들어가십니다.
순재,어 그래?
순재,아이고 선생님 어서오세요. 그래 차도가.. 
민정, 안녕 하세요.. 저기.. 목이 안 돌아가요 선생님..
순재,그럴리가..?
민정,아침에 일어났더니 완전히 이렇게..  엄마야!!
해미, 어머님 공부 많이 하셨어요?
문희,어? 얘 읽느라고 읽는데 너무 양이 많아서..
해미,얼마나 읽으셨어요?
문희,이거 교통법규랑..차 사용법이랑...이건 다 봤는데..  이건 아직 다 못 읽었어.. 시험 내일 치면 안되냐?
해미, 오케이. 시험은 패스.
문희,어?
해미,그만큼 읽으셨으면 웬만큼 아시겠네요. 어머님 시험 얘기 안하면 공부 안하실거 같아서 한 소리예요.
문희,뭐어?
해미, 그럼 바로 연수 시작하죠. 이따 퇴근하고 저랑 연수나가요 어머님. 화이팅! 
문희, 저게 저게.. 아니 저게 아주 사람을 갖고 놀아? 내가 니 자식이냐 저 싹퉁바가지 저게 진짜~ 아우~
민정,아 아.. 어제는 목을 돌릴 수는 있었는데 오늘은 아예 안 돌아가서..
순재, 이럴 수가.. 차도가 없을 뿐 아니라 목이 어제보다 더 돌아가다니.. 어떻게 된 거지?
민정,네?
순재,명현현상이 없으면 그 병이 낫지 않는다.. 서경에 나온 말입니다. 즉 명현현상이 시작된 거란 말입니다.
민정,명현현상이요?
순재,좋아지려고 잠시 더 증상이 악화된다는 뜻인데. 예상했던 현상이니까 염려마세요.
민정,아 그렇군요~ 전 또 괜히 걱정했네요.
순재, 전혀 예상 밖이다..이럴수가..혹시 침이 맞지 않는 특이체질인가?
민정,한번도 없는데요.
순재, 없구나. 그럼 뭐지? 모르겠다 모르겠어 씨.. 
순재,부항요법이 명현반응을 가라앉혀줄 겁니다.
민정,네~ 내일이면 괜찮을까요? 제가 수업이 있어서.
순재,그럼요. 걱정마세요. 
해미,벌써 나와 계시네요?
문희,빨리 가자구. 빨리 운전해보고 싶어 죽겠다 얘.
해미,엠마트로 가는 게 좋겠죠? 제일 자주 다니실 코스니까. 
문희,그래~  나 엠마트 갈때마다 혼자 딱 차 몰고 오는 여자들이 얼마나 부러웠는지 몰라.
해미,자 시동 걸어보세요.
문희,아우 나 떨린다 얘..  어우 걸렸다~ 나 그럼 출발할까..?
해미,어 허? 공부 많이 하셨을텐데 왜 이러시죠?
문희,어?
해미,출발부터 엉망이시네. 출발 준비가 하나도 안 돼 있는데 그냥 출발하시려구요? 자 뭐가 뭐가 빠졌을까요?
문희,응?  장갑도 끼고 색안경도 썼는데.
문희,어 아 참 벨트.  아유 실수.
해미,또 뭐가 빠졌죠?
문희,또? 
해미,찾아보세요.
문희,뭔지 모르겠네. 알려줘 뭐가 빠진 거야?
해미, 찾아보세요. 스스로 생각해서 찾아내야 머리에 입력이 확실히 되죠.
문희,좀 알려줘 얘. 나 늙어서 금방금방 까먹어서 그래.
해미,할게 많은데...  뭐가 빠졌을 까요~~
준하,여보세요? 어 난데 엄마 연수 잘하구 있어?
해미, 아직 출발도 못했어.
준하,아직두? 뭐하느라고?
해미,출발 기본 자세가 아직이야. 공부를 열심히 안하셨나.
문희, 뭐가 어떻게 된거야...  어? 이거!  야 야 이거 아니냐? 이거?
해미,오케이.  야 그거 찾는데 20분이 걸리시네.
문희,아유 힘들어라..아유..
해미,자 지금은 제 시선에 맞춰놨으니까 어머님이 어머님한테 맞게 조절해보세요.
문희,이거 조절할려면 뭘 눌러야 되니? 
해미,찾아보세요.  여기 보면 나오는데.
문희,뭐야 뭘 눌러야 돼? 그냥 가르쳐줘라 얘..
유미, 안녕하세요.
해미, 어 유미야. 민호 집에 있다.
유미,네. 
문희,이거 어떻게 하는 거야? 좀 알려줘 좀~
해미, 피자 있으니까 같이 데워 먹어.
문희,이건가?  이것도 아니잖아~ 좀 알려줘~
해미,스스로 찾아보세요. 그게 다 공부예요.
범,누구야? 누구랑 게임하는 거야?
민호,2반에 김정식. 박살내고 있어 내가.
유미, 민호야. 나 왔어.
민호,1분만 기다려 이거 다 끝나가.
유미,야 근데 니네 할머니 불쌍하더라.
민호,할머니가 왜?
준하,유미야 할머니 아직도 차안에 계시냐?
유미,네.  막 울라 그러세요.
준하,에?
문희,맞췄어. 됐지?
해미,오케이. 이제 사이드 미러 조절하는건 절대 안잊어버리실꺼예요. 그쵸?
문희, 그래. 안 잊어먹을거 같다. 너무 고맙다.
해미,뭘요.
문희, 이제 출발한다..
해미,잠깐 잠깐.
문희,왜 또~~
해미,어머님 차 몰고 다니시면서 좋아하는 트로트 듣는 게 소원이라 그러셨잖아요. 음악도 출발하면서 틀어야겠죠?
문희,어?
해미, 자 넣어보세요.
해미,어디에다 넣어야 음악이 나올까요~~?
해미,거기가 아닌~데.
문희, 어딘데~ 넣는 데는 말을 해줘야지~
해미, 읽어보세요 다 나와요.
순재,점심들 먹었나?
간호사들,네.
순재,오늘 예약환자가..
박간호사,딱 한부..  한분입니다. 서민정씨.
순재,음. 몇시에?
민정, 저기 원장님...
민정,목이 너무 심해져서요.. 저 좀 어떻게 좀..
문희,됐어 됐어! 됐지?!!
해미,오케이.
문희,이제 출발해도 되겠냐? 어?!
해미,잠깐만요 어머님 네박자 좋아하시죠? 그건 다섯번째 곡인데. 다섯번째 곡을 들으려면 어떻게 해야 할까~~요?
해미,방법이 있는데~?
문희, 안들어 안들어~ 안 듣고 말아! 나 안 갈래! 
해미,어머님!  왜 그러세요 다 알아두면 좋은거라 그런건데.
문희,아무리 그래도 출발은 해야 할거 아니야~ 출발은~ 여기서 지금 한시간이 넘었잖아.
해미,"알았어요. 오케이.  봐드릴께요. 자,  이제 출발하세요."
문희,하... 
해미, 아유 조심.
문희,알어 알어. 
해미,아유 우리 어머님 잘하시네. 
문희,치....
민정,웬만하면 참아볼려 그랬는데 점점 더 돌아가서요..
순재, 왜 안 낫지 왜? 원인도 모르겠고 미치고 팔짝 뛰겠다 정말!! 어떡하지?
민정,네?
순재,뜸을 좀 놓아야겠군요.  걱정할거 없어요. 
해미,어머님 운전 잘하시네요~
문희,내가 이론보단 실전에 강하다니까.
해미, 돌발!! 
문희,어?  아우 깜짝이야.
해미,좀 늦으셨어요. 앞으론 더 빨리 아셨죠?
문희,하..
해미,자 급정거로 위험했지요? 이럴 땐 뒷차에게 어떻게 해야죠?
문희,미안하다고 그래야 되나?
해미,그렇죠. 수신호를 보내는게 좋겠죠? 자 해보세요.
문희,아... 
해미,으으음~ 그게 뭐예요. 사과는 잘 보이게 확실히! 미안하다!! 
문희,야 그렇게까지 민망하게..
해미,어서요! 미안하다!
문희,미안하다!! 
해미,"오케이.  아니..저 사람이..  어머님, 잠시만 차 좀 세워주세요."
문희,어? 왜? 
해미,아니 저 사람을..여기서 만나다니..
문희,어? 누군데?
해미, 여기요~ 호두과자 한봉지요~
해미,출출한데 잘됐죠? 
해미, 자 그럼 주유소에서 기름 한번 넣어보죠.
직원, 반대쪽으로 세우셔야 되거든요?
문희,에?
해미, 왜 저렇게 말할까요? 양쪽 사이드 미러로 주유구를 한번 살펴보세요.
문희,주유구? 
해미,이 차는 오른쪽에 주유구가 있는데 지금 어머님이 왼쪽 주유기에 세우셨죠?
문희,아.. 그러네.
해미,자 다시 차 뒤로 빼시고 오른쪽으로 가세요.
문희,아니 그럼 진작 말을 해주지 이거 또 어떻게 빼?
해미,이런 실수를 해보셔야 다시는 실수 안하시죠. 아주 좋은 경험이예요.
직원,차 빼세요 얼른.
문희,이거 어떻게 빼야 돼... 아이구... 
직원,주유구 좀 열어주세요.
문희,에?
해미,"자, 주유구 버튼이 어디 붙어있을까~요?"
문희,몰라 몰라~
해미,모르시면 안돼죠. 찾아보세요.
문희,아유 저 사람 기다리잖아 빨리 말해줘. 어딨어?
해미,찾아보세요 얼른.
직원,문 좀 열어주세요~ 
해미,잠시만요.  당황하실 거 없어요. 침착하게.
문희,아유 정말... 어딨는데? 어딨어? 
직원,할머니..
문희,빨리 열어달라잖아 나 어떡해. 좀 말해줘~
해미,당황하지 마시고! 천천히!! 왼쪽 왼쪽.. 왼쪽을 살펴보세요..
해미,오케이~ 이제 확실히 아셨죠? 주유구 버튼은 왼쪽 아래에!
순재,내일이면 확실히 나을겁니다.
해미,오케이. 무사히 엠마트까지 왔네요. 수고하셨어요. 
문희,에미야. 갈 때는 니가 운전해서 가.
해미,왜요? 잘 하고 계신데.
문희,너무 힘들어서 그래. 기력이 다 떨어졌어.
해미,으으음. 이 정도 갖고 그러심 안되죠. 겨우 한 5킬로 뛰었나? 나온 김에 올림픽 대로도 한번 타볼까하는데.
문희,올림픽대로?
해미,저 있을 때 타보시는 게 좋잖아요. 올림픽대로 한번 타시면 고속도로도 자신감이 생길꺼예요.
문희,싫어 안 갈래.. 나 무서워..
해미,겁 먹으면 영원히 운전 못하세요. 장 보고 나서 출발합니다. 따라 오세요. 
문희,영기엄마..?  응 나야.. 내가 미쳤지.. 내가 왜 싹퉁바가지 차를 탈 생각을 했을까 몰라..
해미,어머님~ 
문희,알았어. 그렇게라도 해야겠다.  어 그래. 간다.
윤호,"할아버지 선생님 오셨는데요, 좀 나와보세요!"
순재, 왜?!!!
윤호,선생님이 선생님이..!!
순재,서선생...?
민정,원장님? 
순재,으아아아악~ 
민정,원장님 때문에 완전히 돌아갔어요. 책임져요 내 목.. 내 목 책임지세요..
순재, 안돼!!안돼!!!
민정,내 목 책임지세요 내 목.. 
순재,아아아아악~~살려줘 살려줘~~~  아 꿈이구나.. 하... 
윤호,할아버지.
순재,왜?
윤호,"저희 담임 선생님 오셨는데요, 좀 나와보세요. "
순재,뭐? 왜?!!! 
윤호, 할아버지 선생님.
민정, 원장님..
민정, 감사합니다. 덕분에 다 나았어요.
순재, 저.. 정말...? 괜찮아요..?
민정,네. 이거 보세요.  아주 잘 돌아가죠? 헤헤.
민정,감사해서 케잌 좀 사왔는데.. 
순재,아.. 하하하... 그렇구나 잘됐어 잘됐어..
순재,잘됐어... 그래.. 내 그럴 줄 알았어...안 나을리가 없지.. 그래.. 
윤호,할아버지 우세요? 왜 우세요?
순재,울긴 누가 울어..
해미,어머님 트렁크 문 부터 열어주세요. 트렁크 문은 어떻게 열죠?
문희,어... 알어...  어머! 이게 뭐냐? 빵구 난 거 아니냐?
해미,어머 이걸 누가 그랬어?
문희,세상에나.. 이거 어떡하냐...? 빵구 났으니 이거 올림픽 대로는 못 타겠네.
해미,누가 그랬어..이거..아 진짜..
문희,이거 사람 불러야 되는 거지? 고치고 집으로 가..
해미, 오케이. 되려 잘됐네요.
문희,응?
해미,스페어 타이어 교체법 배울 기회는 자주 없는데. 좋은 기회예요 어머님.
문희,응?  아니 내가 뭐하러 그런 거까지..
해미, 알아노면 좋죠. 비상상황에서 보험회사만 기다릴 순 없는 거예요.
해미,오케이! 어머님 자 이쪽으로~
문희,아유 왜 울어. 준이야 왜 울어 어? 
준하, 엄마 엄마.
문희,왜애?
문희,왜?
준하, 만두 좀 더 쪄주세요.
문희,그만 먹지 두판이나 먹었잖아.
준하, 아 씨..또 하한가야..
문희,우리 준이가 배가 고프구나. 할미가 우유 줄께.. 잠깐만..  아이쿠 아유 진짜..
해미,우리 아들 이제 가?
민호,늦었어! 갔다올께!
해미,점심은 먹은 거야?
해미,어머님 민호 점심 먹고 나가는 거예요?
문희,점심? 모르겠다 안 먹었나?
해미,아유 학원가면 3시까지 연강인데. 어머님이 좀 챙겨주시지.
문희,아유 나도 정신이 하나도 없다. 애는 빽빽거리고 준하는 계속 먹을거 달래고 밥 해대야지 청소해야지.
해미,그래도 신경 좀 써주세요. 한참 공부할 땐데.  이게 뭐예요? 미끈거려.
문희, 저 싹퉁바가지 저거.. 지 아들을 지가 챙기지 누구한테 짜증이야? 아우 정말..
순재,여보 나..  퉤퉤! 이거 뭐야?! 뭐?!
문희,김치랑 밑반찬만 쌌어요.
순재,그거면 됐어.
문희,혼자 무슨 재미로 낚시를 간다그래? 쉬면 일 좀 도와주지.
순재,민용이 데리구 갈꺼야.
문희,민용이? 걔가 간대?
순재,아직 말 안했어. 자고 있을껄?
문희,물어보지도 않고 데리고 간대?
순재,내가 가라면 지가 가야지 별 수 있어? 
문희,걔까지 데리구 가면 준이는 누가 봐..
순재,빨리 나와 빨리!
민용,근데 어딜 가신다는 거예요?
순재,아 빨리 튀어나와. 열 셀동안. 하나 둘 셋 넷 
민용,나 원 참..어딜 가는 건데요? 
신지,어디가?
민정,친구들 좀 만나러. 넌 왜 또 그러고 있어.
신지,넌 좋겠다. 친구도 만나러 다니고.  난.. 사는 게 우울해서.
민정,어?
신지,민정아. 난 왜 태어났을까?
민정,그거야.. 니네 부모님이.. 그러니까.. 음.. 그거...에이. 알면서.
신지,야 씨..  난 정말 요즘 내가 왜 사는지 모르겠어. 되는 일도 하나도 없고 아니.. 하는일이 있어야 되는일이 있는 거겠지?
신지, 네. 네. 제가 신진데요. 네.  네?! 네. 네?!!! 아. 네. 감사합니다.
민정,"야, 너 왜 그래?"
신지,민정아!!! 
민정,왜 그래?
신지,나 뮤지컬 오디션 본 거 있잖아.
민정,너 뭐 떨어졌다 그러지 않았어?
신지,떨어졌는데.. 거기 추녀 역할을 맡은 애가 에헤헤헤.. 계단에서 깝치다가 굴렀대! 발이 완전히 아작이 났대나 어쨌대나..
민정,뭐? 야.. 끔찍하게..
신지,끔찍하긴.. 나 운이 완전 트였는데! 앗싸!! 울라울라~ 울라울라~ 
민정, 잘됐네.
신지,여보세요? 어머님?
문희, 그래 내가 친정에 며칠 갈려 그러는데 애까지 못 데리고 가겠어서 니가 좀 준이 데리고 있으면 어떠냐.
